,z,r
1333,2.664199269116325,0.09006848433030674
1334,2.6661946882079577,0.0902026785803486
1335,2.668190096237183,0.09033703690163672
1336,2.6701854931847597,0.09047155948360183
1337,2.6721808790313553,0.09060624651568926
1338,2.6741762537575546,0.09074109818735912
1339,2.676171617343852,0.09087611468808612
1340,2.678166969770658,0.0910112962073598
1341,2.680162311018294,0.09114664293468422
1342,2.6821576410669956,0.09128215505957833
1343,2.684152959896911,0.09141783277157559
1344,2.6861482674881025,0.09155367626022427
1345,2.6881435638205433,0.0916896857150873
1346,2.690138848874123,0.09182586132574233
1347,2.6921341226286413,0.09196220328178165
1348,2.6941293850638126,0.09209871177281231
1349,2.6961246361592637,0.092235386988456
1350,2.6981198758945357,0.09237222911834916
1351,2.7001151042490803,0.09250923835214284
1352,2.702110321202266,0.09264641487950288
1353,2.7041055267333705,0.09278375889010976
1354,2.7061007208215875,0.09292127057365868
1355,2.7080959034460226,0.09305895011985948
1356,2.7100910745856948,0.09319679771843682
1357,2.7120862342195355,0.09333481355912988
1358,2.714081382326391,0.09347299783169272
1359,2.716076518885018,0.09361135072589391
1360,2.7180716438740893,0.09374987243151689
1361,2.720066757272188,0.09388856313835965
1362,2.722061859057813,0.09402742303623499
1363,2.724056949209374,0.0941664523149703
1364,2.726052027705195,0.09430565116440777
1365,2.728047094523513,0.09444501977440417
1366,2.7300421496424785,0.09458455833483112
1367,2.7320371930401532,0.09472426703557472
1368,2.734032224694515,0.09486414606653601
1369,2.7360272445834517,0.09500419561763052
1370,2.7380222526847673,0.09514441587878858
1371,2.7400172489761756,0.09528480703995519
1372,2.7420122334353074,0.09542536929109008
1373,2.7440072060397025,0.09556610282216758
1374,2.7460021667668166,0.09570700782317684
1375,2.7479971155940177,0.09584808448412159
1376,2.7499920524985875,0.09598933299502035
1377,2.751986977457719,0.09613075354590625
1378,2.7539818904485207,0.09627234632682721
1379,2.7559767914480116,0.09641411152784571
1380,2.757971680433127,0.09655604933903911
1381,2.7599665573807126,0.09669815995049925
1382,2.7619614222675284,0.09684044355233289
