,z,r
7435,13.178838960563432,1.2018501604821266
7436,13.179187628760308,1.199792425241535
7437,13.179535183770675,1.197734480953458
7438,13.179881626862242,1.1956763297420285
7439,13.180226959304923,1.1936179737329609
7440,13.180571182370826,1.1915594150535658
7441,13.180914297334262,1.1895006558327414
7442,13.181256305471733,1.1874416982009703
7443,13.181597208061945,1.185382544290329
7444,13.181937006385796,1.1833231962344835
7445,13.182275701726386,1.1812636561686831
7446,13.182613295369013,1.179203926229774
7447,13.18294978860117,1.1771440085561828
7448,13.183285182712552,1.175083905287932
7449,13.183619478995045,1.1730236185666327
7450,13.183952678742742,1.1709631505354796
7451,13.184284783251924,1.1689025033392617
7452,13.184615793821077,1.1668416791243568
7453,13.184945711750885,1.1647806800387273
7454,13.185274538344226,1.1627195082319306
7455,13.185602274906175,1.1606581658551074
7456,13.18592892274401,1.1585966550609907
7457,13.186254483167204,1.1565349780039054
7458,13.186578957487425,1.1544731368397567
7459,13.186902347018545,1.152411133726048
7460,13.187224653076628,1.1503489708218682
7461,13.187545876979941,1.1482866502878921
7462,13.187866020048945,1.1462241742863903
7463,13.188185083606301,1.1441615449812146
7464,13.188503068976866,1.1420987645378118
7465,13.188819977487695,1.1400358351232172
7466,13.189135810468043,1.13797275890605
7467,13.189450569249361,1.1359095380565247
7468,13.189764255165297,1.133846174746444
7469,13.190076869551703,1.1317826711491938
7470,13.190388413746618,1.129719029439757
7471,13.190698889090289,1.127655251794698
7472,13.191008296925157,1.125591340392176
7473,13.191316638595856,1.1235272974119392
7474,13.191623915449227,1.1214631250353189
7475,13.191930128834302,1.1193988254452414
7476,13.192235280102315,1.1173344008262216
7477,13.192539370606694,1.1152698533643584
7478,13.192842401703068,1.1132051852473461
7479,13.193144374749261,1.111140398664463
7480,13.1934452911053,1.1090754958065798
7481,13.193745152133403,1.107010478866156
7482,13.194043959197991,1.1049453500372362
7483,13.194341713665679,1.1028801115154596
7484,13.194638416905285,1.100814765498052
7485,13.19493407028782,1.0987493141838258
7486,13.195228675186494,1.096683759773188
7487,13.195522232976717,1.094618104468128
7488,13.195814745036094,1.0925523504722285
7489,13.196106212744429,1.0904864999906632
7490,13.196396637483724,1.0884205552301878
7491,13.19668602063818,1.0863545183991532
7492,13.196974363594196,1.0842883917074995
7493,13.197261667740364,1.0822221773667495
7494,13.197547934467478,1.0801558775900235
7495,13.197833165168532,1.078089494592023
7496,13.198117361238712,1.0760230305890433
7497,13.198400524075407,1.0739564877989694
7498,13.1986826550782,1.0718898684412708
7499,13.198963755648874,1.06982317473701
7500,13.19924382719141,1.0677564089088394
7501,13.199522871111986,1.0656895731809943
7502,13.199800888818979,1.0636226697793068
