,s,rp
176,0.352,0.35199961549338077
177,0.354,0.3539996044450627
178,0.356,0.35599959314422425
179,0.358,0.35799958158657585
180,0.36,0.35999956976773684
181,0.362,0.3619995576833168
182,0.364,0.36399954532888273
183,0.366,0.365999532699906
184,0.368,0.36799951979184475
185,0.37,0.3699995066001204
186,0.372,0.37199949312005376
187,0.374,0.37399947934694916
188,0.376,0.3759994652760794
189,0.378,0.37799945090261333
190,0.38,0.37999943622169874
191,0.382,0.3819994212284568
192,0.384,0.3839994059179025
193,0.386,0.3859993902850244
194,0.388,0.387999374324789
195,0.39,0.38999935803205577
196,0.392,0.3919993414016515
197,0.394,0.39399932442838503
198,0.396,0.3959993071069585
199,0.398,0.3979992894320345
200,0.4,0.39999927139826114
201,0.402,0.401999253000181
202,0.404,0.4039992342322902
203,0.406,0.4059992150890734
204,0.40800000000000003,0.4079991955649116
205,0.41000000000000003,0.40999917565413185
206,0.41200000000000003,0.41199915535105186
207,0.41400000000000003,0.41399913464989
208,0.41600000000000004,0.41599911354480146
209,0.418,0.4179990920299345
210,0.42,0.4199990700993418
211,0.422,0.4219990477470052
212,0.424,0.4239990249669003
213,0.426,0.42599900175291155
214,0.428,0.4279989780988457
215,0.43,0.42999895399850224
216,0.432,0.43199892944559654
217,0.434,0.4339989044337562
218,0.436,0.435998878956603
219,0.438,0.43799885300767966
220,0.44,0.439998826580434
221,0.442,0.44199879966830596
222,0.444,0.4439987722646644
223,0.446,0.44599874436277415
224,0.448,0.44799871595589125
225,0.45,0.44999868703720747
226,0.452,0.4519986575998033
227,0.454,0.4539986276367478
228,0.456,0.45599859714105295
229,0.458,0.45799856610561285
230,0.46,0.45999853452330713
231,0.462,0.4619985023869654
232,0.464,0.46399846968929326
233,0.466,0.4659984364229779
234,0.468,0.46799840258066366
235,0.47000000000000003,0.46999836815486645
236,0.47200000000000003,0.4719983331380782
237,0.47400000000000003,0.4739982975227551
238,0.47600000000000003,0.47599826130122086
239,0.47800000000000004,0.4779982244657705
240,0.48,0.47999818700866803
241,0.482,0.4819981489220445
242,0.484,0.48399811019799444
243,0.486,0.4859980708285871
244,0.488,0.48799803080575843
245,0.49,0.4899979901214005
246,0.492,0.4919979487673845
247,0.494,0.49399790673544997
248,0.496,0.49599786401728363
249,0.498,0.497997820604556
250,0.5,0.4999977764888078
251,0.502,0.5019977316615181
252,0.504,0.5039976861141533
253,0.506,0.5059976398380539
254,0.508,0.5079975928244891
255,0.51,0.5099975450647177
256,0.512,0.5119974965498783
257,0.514,0.5139974472710275
258,0.516,0.515997397219214
259,0.518,0.5179973463853719
260,0.52,0.5199972947603437
261,0.522,0.5219972423349644
262,0.524,0.5239971890999614
263,0.526,0.5259971350459609
264,0.528,0.5279970801635813
265,0.53,0.5299970244433414
266,0.532,0.5319969678756485
267,0.534,0.5339969104509017
268,0.536,0.535996852159409
269,0.538,0.5379967929913567
270,0.54,0.5399967329369214
271,0.542,0.5419966719861975
272,0.544,0.5439966101291485
273,0.546,0.5459965473557262
274,0.548,0.5479964836558089
275,0.55,0.5499964190191351
276,0.552,0.5519963534354289
277,0.554,0.553996286894349
278,0.556,0.5559962193854086
279,0.558,0.5579961508981
280,0.56,0.5599960814218605
281,0.562,0.5619960109459752
282,0.5640000000000001,0.5639959394597033
283,0.5660000000000001,0.5659958669522565
284,0.5680000000000001,0.5679957934126904
285,0.5700000000000001,0.5699957188300282
286,0.5720000000000001,0.5719956431932539
287,0.5740000000000001,0.5739955664911913
288,0.5760000000000001,0.5759954887126254
289,0.578,0.5779954098463078
290,0.58,0.5799953298808308
291,0.582,0.5819952488047374
292,0.584,0.5839951666065449
293,0.586,0.5859950832746109
294,0.588,0.5879949987972357
295,0.59,0.5899949131626967
296,0.592,0.5919948263591173
297,0.594,0.5939947383745505
298,0.596,0.5959946491970334
299,0.598,0.5979945588144508
300,0.6,0.5999944672146084
301,0.602,0.6019943743852978
302,0.604,0.6039942803141646
303,0.606,0.6059941849887639
304,0.608,0.6079940883966388
305,0.61,0.6099939905251943
306,0.612,0.6119938913617323
307,0.614,0.6139937908935449
308,0.616,0.6159936891077941
309,0.618,0.6179935859915262
310,0.62,0.619993481531779
311,0.622,0.6219933757154691
312,0.624,0.6239932685293857
313,0.626,0.6259931599603096
314,0.628,0.6279930499949089
315,0.63,0.6299929386197151
316,0.632,0.631992825821247
317,0.634,0.6339927115859237
318,0.636,0.6359925959000146
319,0.638,0.6379924787497758
320,0.64,0.6399923601213735
321,0.642,0.6419922400008143
322,0.644,0.6439921183740888
323,0.646,0.6459919952271066
324,0.648,0.6479918705456102
325,0.65,0.6499917443153209
326,0.652,0.6519916165218899
327,0.654,0.6539914871507935
328,0.656,0.6559913561874816
329,0.658,0.6579912236173437
330,0.66,0.6599910894255885
331,0.662,0.661990953597391
332,0.664,0.6639908161178762
333,0.666,0.6659906769719837
334,0.668,0.6679905361446115
335,0.67,0.6699903936206156
336,0.672,0.6719902493846662
337,0.674,0.6739901034213813
338,0.676,0.6759899557153454
339,0.678,0.6779898062509565
340,0.68,0.6799896550125507
341,0.682,0.6819895019844366
342,0.684,0.6839893471507398
343,0.686,0.685989190495512
344,0.6880000000000001,0.6879890320027825
345,0.6900000000000001,0.6899888716564024
346,0.6920000000000001,0.6919887094401369
347,0.6940000000000001,0.6939885453377324
348,0.6960000000000001,0.6959883793327641
