s,P
0.49,0.1120928577642201
0.491,0.11207960489403032
0.492,0.11206633007643098
0.493,0.11205303326471633
0.494,0.11203971435895575
0.495,0.11202637325921866
0.496,0.11201300986557448
0.497,0.11199962407809262
0.498,0.11198621579684247
0.499,0.11197278492189344
0.5,0.11195933135331497
0.501,0.11194585499117643
0.502,0.11193235573554723
0.503,0.11191883348649678
0.504,0.1119052881440945
0.505,0.11189171960840984
0.506,0.1118781277795121
0.507,0.11186451255747078
0.508,0.11185087384235522
0.509,0.11183721153423488
0.51,0.11182352553317917
0.511,0.11180981573925744
0.512,0.11179608205253916
0.513,0.1117823243730937
0.514,0.11176854260099046
0.515,0.11175473663629891
0.516,0.1117409063790884
0.517,0.11172705172942833
0.518,0.11171317258738815
0.519,0.11169926885303724
0.52,0.11168534042644503
0.521,0.11167138720768088
0.522,0.11165740909681426
0.523,0.11164340599391452
0.524,0.1116293777990511
0.525,0.11161532441229342
0.526,0.11160124573371086
0.527,0.11158714166337283
0.528,0.11157301210134873
0.529,0.111558856947708
0.53,0.11154467610252004
0.531,0.11153046946585424
0.532,0.11151623693778
0.533,0.11150197841836675
0.534,0.11148769380768388
0.535,0.11147338300580081
0.536,0.11145904591278695
0.537,0.11144468242871171
0.538,0.11143029245364447
0.539,0.11141587588765466
0.54,0.11140143263081168
0.541,0.11138696266925048
0.542,0.11137246634297526
0.543,0.11135794408292594
0.544,0.11134339632004259
0.545,0.11132882348526525
0.546,0.11131422600953393
0.547,0.11129960432378866
0.548,0.11128495885896948
0.549,0.11127029004601642
0.55,0.11125559831586951
0.551,0.1112408840994688
0.552,0.1112261478277543
0.553,0.11121138993166603
0.554,0.11119661084214406
0.555,0.11118181099012837
0.556,0.11116699080655905
0.557,0.1111521507223761
0.558,0.11113729116851954
0.559,0.1111224125759294
0.56,0.11110751537554577
0.561,0.1110925999983086
0.562,0.11107766687515798
0.5630000000000001,0.11106271643703393
0.5640000000000001,0.11104774911487644
0.5650000000000001,0.1110327653396256
0.5660000000000001,0.11101776554222141
0.5670000000000001,0.1110027501536039
0.5680000000000001,0.11098771960471311
0.5690000000000001,0.11097267432648909
0.5700000000000001,0.11095761474987183
0.5710000000000001,0.11094254130580138
0.5720000000000001,0.1109274544252178
0.5730000000000001,0.11091235453906108
0.5740000000000001,0.11089724207827126
0.5750000000000001,0.11088211747378839
0.5760000000000001,0.11086698115655248
0.577,0.11085183355750358
0.578,0.11083667510758172
0.579,0.11082150623772692
0.58,0.1108063273788792
0.581,0.11079113896197862
0.582,0.1107759414179652
0.583,0.110760735177779
0.584,0.11074552067235997
0.585,0.11073029833264825
0.586,0.11071506858958377
0.587,0.11069983187410663
0.588,0.11068458861715684
0.589,0.11066933924967441
0.59,0.11065408414598032
0.591,0.11063882337329674
0.592,0.11062355689521511
0.593,0.11060828467524698
0.594,0.11059300667690372
0.595,0.11057772286369681
0.596,0.1105624331991377
0.597,0.1105471376467378
0.598,0.1105318361700086
0.599,0.11051652873246152
0.6,0.11050121529760805
0.601,0.1104858958289596
0.602,0.11047057029002762
0.603,0.11045523864432359
0.604,0.1104399008553589
0.605,0.11042455688664503
0.606,0.11040920670169346
0.607,0.11039385026401557
0.608,0.1103784875371229
0.609,0.1103631184845268
0.61,0.11034774306973877
0.611,0.11033236125627024
0.612,0.11031697300763268
0.613,0.11030157828733753
0.614,0.11028617705889622
0.615,0.11027076928582022
0.616,0.11025535493162093
0.617,0.11023993395980988
0.618,0.11022450633389848
0.619,0.11020907201739814
0.62,0.11019363097382036
0.621,0.11017818316667655
0.622,0.11016272855947819
0.623,0.11014726711573669
0.624,0.11013179879896356
0.625,0.11011632357267019
0.626,0.11010084140036804
0.627,0.11008535224556855
0.628,0.1100698560717832
0.629,0.11005435284252345
0.63,0.11003884252130068
0.631,0.11002332507162639
0.632,0.11000780045701201
0.633,0.10999226864096898
0.634,0.10997672958700878
0.635,0.10996118325864283
0.636,0.10994562961938259
0.637,0.10993006863273949
0.638,0.109914500262225
0.639,0.10989892444644303
0.64,0.10988334094419215
0.641,0.10986774943532539
0.642,0.1098521495993573
0.643,0.1098365411158024
0.644,0.10982092366417526
0.645,0.10980529692399041
0.646,0.10978966057476237
0.647,0.10977401429600568
0.648,0.10975835776723489
0.649,0.10974269066796455
0.65,0.10972701267770917
0.651,0.1097113234759833
0.652,0.10969562274230146
0.653,0.10967991015617824
0.654,0.10966418539712812
0.655,0.1096484481446657
0.656,0.10963269807830545
0.657,0.10961693487756197
0.658,0.10960115822194975
0.659,0.10958536779098335
0.66,0.10956956326417733
0.661,0.10955374432104618
0.662,0.10953791064110448
0.663,0.10952206190386675
0.664,0.10950619778884751
0.665,0.10949031797556137
0.666,0.10947442214352278
0.667,0.10945850997224632
0.668,0.10944258114124653
0.669,0.10942663533003794
0.67,0.10941067221813511
0.671,0.10939469148505254
0.672,0.10937869281030478
0.673,0.1093626758734064
0.674,0.10934664035387191
0.675,0.10933058593121586
0.676,0.10931451228495279
0.677,0.1092984190945972
0.678,0.1092823060396637
0.679,0.10926617279966674
0.68,0.10925001905412096
0.681,0.10923384448254081
0.682,0.10921764876444087
0.683,0.10920143157933568
0.684,0.10918519260673977
0.685,0.10916893152616766
0.686,0.10915264801713394
0.687,0.10913634175915309
0.6880000000000001,0.10912001243365063
0.6890000000000001,0.10910365974074067
0.6900000000000001,0.10908728339110715
0.6910000000000001,0.10907088309555399
0.6920000000000001,0.10905445856488509
0.6930000000000001,0.10903800950990435
0.6940000000000001,0.10902153564141567
0.6950000000000001,0.109005036670223
0.6960000000000001,0.10898851230713023
0.6970000000000001,0.10897196226294126
0.6980000000000001,0.10895538624846002
0.6990000000000001,0.10893878397449037
0.7000000000000001,0.10892215515183627
0.7010000000000001,0.10890549949130163
0.7020000000000001,0.10888881670369033
0.7030000000000001,0.10887210649980628
0.704,0.10885536859045342
0.705,0.10883860268643561
0.706,0.1088218084985568
0.707,0.10880498573762092
0.708,0.10878813411443182
0.709,0.10877125333979343
0.71,0.10875434312450967
0.711,0.10873740317938446
0.712,0.10872043321522169
0.713,0.10870343294282526
0.714,0.1086864020729991
0.715,0.10866934031654713
0.716,0.1086522473842732
0.717,0.1086351229869813
0.718,0.1086179668354753
0.719,0.10860077864055909
0.72,0.10858355811303658
0.721,0.10856630496371172
0.722,0.1085490189033884
0.723,0.10853169964287053
0.724,0.10851434689296202
0.725,0.10849696036446675
0.726,0.10847953976818867
0.727,0.10846208481493169
0.728,0.10844459521549966
0.729,0.10842707068069657
0.73,0.10840951092132627
0.731,0.10839191564819269
0.732,0.10837428457209976
0.733,0.10835661740385134
0.734,0.10833891385425137
0.735,0.10832117363410378
0.736,0.10830339645421244
0.737,0.10828558205623026
0.738,0.1082677306024581
0.739,0.10824984255927127
0.74,0.10823191839980696
0.741,0.10821395859720238
0.742,0.10819596362459473
0.743,0.10817793395512118
0.744,0.1081598700619189
0.745,0.10814177241812514
0.746,0.10812364149687705
0.747,0.10810547777131181
0.748,0.10808728171456666
0.749,0.10806905379977874
0.75,0.10805079450008528
0.751,0.10803250428862343
0.752,0.10801418363853042
